P41182;P56524
P41182;Q9UQL6
P41182;Q8WUI4
Q09472;Q92831;Q9Y6Q9;Q92793
P30561;P53762
Q9NQG7;Q92902
Q969F9;Q86YV9;Q9UPZ3
Q92903;Q96NY9
O75376;Q9BZK7;Q13227;O60907;Q92828;O15379
Q9NUP1;O95295;Q8TDH9;Q96EV8;Q6QNY1;Q9UL45;Q6QNY0;P78537
O08915;P11499;P07901;P30561
P54612;P67776;Q8WMR7
O15145;O15144;P61158;O15143;P59998;P61160;O15511
Q3SZ81;Q3SZ19;Q2KIW6
P61289
Q9UL46;Q06323
P48556;O75832;P51665;O43242;Q9UNM6;O00487;P62195;Q16401;P62333;Q13200;P17980;P43686;Q99460;P62191;O00231;O00232;Q15008;P55036;P35998;O00233
Q91XP6;P11530;P47863;Q498T0
P56377;O75843;O43747;Q9BXS5;Q96PC3;Q9Y6Q5;Q10567;P61966
P28076;O70435;P99026;Q9QUM9;Q9R1P1;O09061;Q9R1P3;Q9R1P4;Q9Z2U1;P28063;P49722;Q9R1P0;O35955;Q9Z2U0
P41182;O94776;Q13547;O95983;Q9BTC8
Q9Z250;O35430;Q62915
P17427;P84092;P62743;P63010
P33611;P33609;P33610;P20664
P21279;O46470;P62881
O95347;Q9UBC3;O60264;Q13547;O95239;Q9NTJ3;Q96ST3
Q15276;Q9UJ41;P20339
P80315;P80316;P42932;P80314;P11983;P80318;P80313;P80317
P49803;P62882
O00422;Q09028;Q16576;Q13547;Q92769;Q96ST3;O75446
P56524;P27361
Q63187;P62870;P83941
P56524;P28482
Q9BZK7;Q13227;O60907;Q9Y618;O15379
P59780;Q92572;Q13367;P53677;Q9Y2T2;O14617;O00203
P52630;P42224;Q00978
O94776;Q09028;Q16576;Q13547;O95983;Q92769;Q14839
O94776;Q9UBB5;Q09028;Q16576;Q13547;O95983;Q92769;Q14839
P52188;O35430;Q792I0;Q62915;Q62696
O60244;P10827;Q93074;Q15648;O75448;Q9NVC6;Q9Y2W1;Q9Y2X0
Q9Y6B7;O00189;Q9Y587;Q9UPM8
Q99PF5;Q923K9;P38483
P60711;P62260;P63102;P39052;Q9Z0W7;P07335;P68370
P48995;Q14573;Q9NSC5
P63036;Q62871;Q9QXU8;P38650;P62628;P63170;Q63100;Q9JJ79;Q9Z336
O35626;Q9D3A8;Q9Z0J4
P29476;O54960;P09951
Q13616;P62877;P63208;Q13309
Q8N3Y1;P62877;Q14999;P63208
P81948;Q0VCK4;E1BJK2
