BCL6;HDAC4
BCL6;HDAC5
BCL6;HDAC7
EP300;KAT2B;NCOA3;CREBBP
Ahr;Arnt
HPS4;HPS1
HPS3;HPS6;HPS5
CDS1;MUS81
NCOR1;TBL1XR1;GPS2;TBL1X;CORO2A;HDAC3
BLOC1S4;SNAPIN;BLOC1S5;DTNBP1;BLOC1S2;BLOC1S6;BLOC1S3;BLOC1S1
Aip;Hsp90ab1;Hsp90aa1;Ahr
PPP2R1A;PPP2CA;BEST1
ARPC3;ARPC2;ACTR3;ARPC1B;ARPC4;ACTR2;ARPC5
PSMC3;PSMD9;PSMC6
PSME3
PSME2;PSME1
PSMD8;PSMD10;PSMD7;PSMD3;PSMD13;PSMD14;PSMC5;PSMD5;PSMC6;PSMD2;PSMC3;PSMC4;PSMD1;PSMC1;PSMD11;PSMD12;PSMD6;PSMD4;PSMC2;PSMD9
Dag1;Dmd;Aqp4;Snta1
AP1S2;AP1G2;AP1G1;AP1M1;AP1S3;AP1M2;AP1B1;AP1S1
Psmb9;Psma3;Psmb4;Psma6;Psmb3;Psmb1;Psmb2;Psma1;Psma5;Psmb8;Psma2;Psma4;Psmb10;Psma7
BCL6;MTA2;HDAC1;MBD3;MTA3
Lin7a;Apba1;Cask
Ap2a2;Ap2m1;Ap2s1;AP2B1
Pola2;Pola1;Prim2;Prim1
Gnaq;RGS7;Gnb5
SMC2;DNMT3B;SMARCA5;HDAC1;KIF4A;SMC4;SIN3A
RABEP1;RABGEF1;RAB5A
Cct4;Cct5;Cct8;Cct2;Tcp1;Cct3;Cct7;Cct6a
Rgs7;Gnb5
SAP18;RBBP4;RBBP7;HDAC1;HDAC2;SIN3A;SAP30
HDAC4;MAPK3
Eloa;Elob;Eloc
HDAC4;MAPK1
TBL1XR1;GPS2;TBL1X;NCOR2;HDAC3
AP3S2;AP3S1;AP3B2;AP3M2;AP3M1;AP3D1;AP3B1
STAT2;STAT1;IRF9
MTA2;RBBP4;RBBP7;HDAC1;MBD3;HDAC2;CHD4
MTA2;MBD2;RBBP4;RBBP7;HDAC1;MBD3;HDAC2;CHD4
Kcnj12;Apba1;Lin7c;Cask;Dlg1
MED14;THRA;MED12;MED1;MED24;MED17;THRAP3;MED16
AP4B1;AP4M1;AP4S1;AP4E1
Khsrp;A1cf;Apobec1
Actb;Ywhae;Ywhaz;Dnm2;Clic4;Ckb;Tuba1a
TRPC1;ITPR3;HOMER3
Dnaja1;Dync1i2;Dync1li1;Dync1h1;Dynlrb1;Dynll1;Dync1i1;Dync2h1;Dynlt1
Rasd1;Nos1ap;Nos1
Nos1;Nos1ap;Syn1
CUL1;RBX1;SKP1;SKP2
FBXW8;RBX1;CUL7;SKP1
TUBA4A;STMN4;TUBB1
